,bill_id,cosponsor_flg,amendments_flg,popular_flg,related_bills_flg,party_flg,majority_flg,Class
7594,s1332-110,1,0,0,1,1,1,0
7595,s1339-110,1,0,0,1,1,1,0
7596,s1445-110,1,0,0,1,1,1,0
7597,s1576-110,1,0,0,1,1,1,0
7598,s1639-110,1,1,0,1,1,1,1
7599,s164-110,0,0,0,0,1,1,0
7600,s1642-110,1,1,0,1,1,1,1
7601,s1651-110,1,0,0,0,1,1,0
7602,s1655-110,1,0,0,1,1,1,0
7603,s1693-110,1,0,0,1,1,1,1
7604,s1695-110,1,0,0,0,1,1,1
7605,s1704-110,1,0,0,1,1,1,1
7606,s1758-110,1,0,0,1,1,1,0
7607,s1762-110,0,0,0,1,1,1,1
7608,s1777-110,0,0,0,1,1,1,0
7609,s1795-110,1,0,0,1,1,1,0
7610,s1842-110,1,0,0,1,1,1,0
7611,s1843-110,1,0,0,1,1,1,0
7612,s1868-110,1,0,0,1,1,1,1
7613,s1871-110,1,0,0,1,1,1,0
7614,s1928-110,1,0,0,0,1,1,0
7615,s1943-110,1,0,0,0,1,1,0
7616,s1974-110,1,1,0,1,1,1,1
7617,s2049-110,1,0,0,1,1,1,0
7618,s2258-110,0,0,0,1,1,1,1
7619,s2311-110,0,0,0,1,1,1,0
7620,s233-110,1,0,0,1,1,1,0
7621,s2333-110,0,0,0,0,1,1,0
7622,s2371-110,0,0,0,1,1,1,1
7623,s2419-110,1,0,0,1,1,1,0
7624,s2464-110,0,0,0,1,1,1,0
7625,s2465-110,1,0,0,1,1,1,0
7626,s2466-110,0,0,0,1,1,1,0
7627,s2467-110,0,0,0,1,1,1,0
7628,s2471-110,1,0,0,0,1,1,0
7629,s2513-110,1,0,0,1,1,1,1
7630,s2533-110,1,0,0,0,1,1,1
7631,s2544-110,1,0,0,1,1,1,0
7632,s2554-110,1,0,0,1,1,1,0
7633,s2605-110,1,0,0,1,1,1,0
7634,s2630-110,1,0,0,1,1,1,0
7635,s2733-110,0,0,0,1,1,1,1
7636,s2815-110,1,0,0,1,1,1,0
7637,s2829-110,1,0,0,1,1,1,1
7638,s287-110,1,0,0,1,1,1,1
7639,s2891-110,1,0,0,1,1,1,0
7640,s2929-110,0,0,0,1,1,1,1
7641,s2939-110,0,0,0,1,1,1,0
7642,s3035-110,0,0,0,1,1,1,1
7643,s3158-110,1,0,0,1,1,1,1
7644,s3177-110,1,0,0,1,1,1,0
7645,s3180-110,0,0,0,1,1,1,1
7646,s3352-110,0,0,0,1,1,1,1
7647,s3398-110,1,0,0,1,1,1,0
7648,s3409-110,1,0,0,0,1,1,0
7649,s3431-110,1,0,0,0,1,1,0
7650,s3487-110,1,0,0,0,1,1,0
7651,s359-110,1,0,0,0,1,1,0
7652,s3648-110,1,0,0,1,1,1,0
7653,s3712-110,1,0,0,0,1,1,1
7654,s486-110,1,0,0,1,1,1,0
7655,s549-110,1,0,0,1,1,1,0
7656,s556-110,1,0,1,1,1,1,1
7657,s572-110,1,0,0,1,1,1,0
7658,s578-110,1,0,0,1,1,1,0
7659,s625-110,1,0,0,1,1,1,1
7660,s626-110,1,0,0,1,1,1,0
7661,s682-110,1,0,0,1,1,1,1
7662,s735-110,1,0,0,0,1,1,1
7663,s736-110,1,0,0,0,1,1,0
